pref,year,emp.rate,cap.rate,age,age.hus,emp.rate.hus,urate,nuc.rate,numhh,hh.type
奈良県,1990,0.323599585,0.249843242,31.67323651,34.86514523,0.985736515,0.028601737,0.683372995,19280,3ge
和歌山県,1990,0.411925201,0.32991936,31.17448593,34.48219871,0.986690624,0.034230101,0.670772749,15027,3ge
鳥取県,1990,0.683242134,0.422078699,31.50478796,34.51025992,0.991586867,0.024812858,0.464360739,14620,3ge
島根県,1990,0.681847375,0.343522126,31.62924038,34.54948327,0.992818357,0.019416459,0.479709358,17127,3ge
岡山県,1990,0.488511998,0.271365823,31.24665217,34.26123309,0.988308069,0.029314658,0.643898007,29422,3ge
広島県,1990,0.506105445,0.284955981,31.6408562,34.85357707,0.989117943,0.025508376,0.776724131,27844,3ge
山口県,1990,0.445201422,0.291029886,31.80065166,34.99496445,0.989691943,0.028341769,0.731255964,16880,3ge
徳島県,1990,0.575518066,0.31992407,31.23718119,34.22735122,0.983129649,0.038753022,0.576152862,15056,3ge
香川県,1990,0.568666368,0.308548783,31.19457072,34.29240028,0.988603624,0.030940427,0.638534376,15619,3ge
愛媛県,1990,0.465595508,0.324004905,31.65774698,34.71950782,0.985605065,0.036547243,0.74051076,16742,3ge
高知県,1990,0.593530409,0.548166714,31.75648171,34.8531621,0.979646232,0.047427567,0.746023617,8254,3ge
福岡県,1990,0.444353925,0.26796684,32.04629722,34.89556302,0.983746299,0.044783098,0.762456542,50327,3ge
佐賀県,1990,0.604853855,0.299681529,31.60032744,34.35758656,0.990032263,0.02757714,0.491120667,20767,3ge
長崎県,1990,0.573212767,0.269400682,31.9867944,34.75415193,0.988853574,0.034968082,0.693028278,22339,3ge
熊本県,1990,0.633179524,0.361926848,31.39147131,34.11823728,0.986900375,0.031767491,0.609456237,32291,3ge
大分県,1990,0.519437201,0.229827858,31.75498817,34.74789253,0.986779065,0.033428819,0.686668787,16489,3ge
宮崎県,1990,0.643036072,0.354641615,31.7507515,34.66032064,0.986138945,0.03373499,0.775234666,11976,3ge
鹿児島県,1990,0.517642132,0.249215257,32.3303319,35.51795623,0.98157261,0.033820794,0.880506329,9551,3ge
沖縄県,1990,0.453414167,0.196810898,32.26855988,35.21314614,0.953520528,0.077469745,0.858175502,9402,3ge
北海道,1995,0.503928606,0.203448265,32.4012675,35.41093543,0.988553691,0.043871523,0.857619687,30927,3ge
青森県,1995,0.525993634,0.388768898,31.69211622,34.57018689,0.981473925,0.050486774,0.590396832,24506,3ge
岩手県,1995,0.621219118,0.275848935,32.07754175,34.87481721,0.987955053,0.032389927,0.540898113,25986,3ge
宮城県,1995,0.574946128,0.164066722,32.02327252,34.7947134,0.987300675,0.038944375,0.636940765,34805,3ge
秋田県,1995,0.645206114,0.303618314,32.02589583,34.8342246,0.990989094,0.03366347,0.470533478,23749,3ge
山形県,1995,0.751273855,0.246520386,32.13798778,34.92242934,0.993195557,0.02661147,0.375457011,31597,3ge
福島県,1995,0.628763271,0.172533167,32.07708343,34.82554419,0.99006157,0.034389124,0.546071807,41254,3ge
茨城県,1995,0.463601707,0.19061577,31.79797749,34.57687128,0.985664392,0.037728052,0.64785064,43807,3ge
栃木県,1995,0.466683851,0.210862998,32.09118443,34.90050264,0.988851656,0.036673837,0.627756731,31036,3ge
群馬県,1995,0.409496482,0.287874723,32.31366692,35.17656539,0.989465823,0.036917469,0.695867026,25441,3ge
埼玉県,1995,0.323711022,0.148932138,32.31288592,35.30049784,0.98435088,0.043978467,0.822286545,51824,3ge
千葉県,1995,0.411238222,0.189758715,32.10152175,35.14137924,0.983730763,0.042600301,0.801988935,46591,3ge
東京都,1995,0.348488351,0.27259926,33.20084252,36.62908736,0.976702371,0.048576347,0.901992208,38931,3ge
神奈川県,1995,0.29372614,0.134202552,32.7773257,35.98005827,0.984202331,0.045620894,0.881719963,39816,3ge
新潟県,1995,0.65888454,0.429228678,32.08019896,34.82816988,0.992770527,0.027215652,0.475855141,51871,3ge
富山県,1995,0.620734542,0.443010681,31.38261274,34.36494654,0.993537889,0.027918802,0.494464428,21510,3ge
石川県,1995,0.664977662,0.515053732,31.48403618,34.61278195,0.992372235,0.032644987,0.610710759,18354,3ge
福井県,1995,0.673837689,0.446790109,31.67620358,34.66602476,0.992957359,0.024941195,0.478600331,18175,3ge
山梨県,1995,0.457299618,0.366426691,32.71723919,35.79611959,0.989185751,0.034339756,0.665904311,12576,3ge
長野県,1995,0.481828194,0.443905504,32.80823238,35.84030837,0.991602423,0.024547152,0.594729211,36320,3ge
岐阜県,1995,0.407216216,0.334153638,31.74108108,34.85202703,0.991378378,0.031969561,0.570477068,37000,3ge
静岡県,1995,0.404176161,0.199311224,32.16127884,35.1472515,0.990654372,0.034976952,0.633947002,56176,3ge
愛知県,1995,0.376273785,0.321826317,31.73520597,34.89175437,0.98934969,0.037238243,0.757597902,71735,3ge
三重県,1995,0.423853647,0.350156369,31.51532431,34.60750772,0.990021383,0.033549781,0.665308689,25254,3ge
滋賀県,1995,0.446063323,0.259574826,31.95680396,35.13066218,0.992107967,0.031458697,0.630439611,21414,3ge
京都府,1995,0.421699708,0.340660434,32.56375186,35.72880488,0.98027765,0.044307448,0.800617383,19521,3ge
大阪府,1995,0.285369933,0.220123807,32.12851732,35.28782959,0.973878394,0.061864593,0.881803218,40656,3ge
兵庫県,1995,0.369140535,0.220231563,32.22017734,35.38163303,0.984413245,0.051199282,0.802835997,43306,3ge
奈良県,1995,0.305690612,0.267820279,32.28007944,35.47805245,0.982332397,0.041639497,0.747112888,14603,3ge
和歌山県,1995,0.385557133,0.369152581,31.77776792,34.97861959,0.984918382,0.04480717,0.73297315,11272,3ge
鳥取県,1995,0.650603434,0.473581589,32.23202448,35.13870474,0.986486486,0.030068716,0.516041039,11766,3ge
島根県,1995,0.663203023,0.382884434,32.14641767,35.13144892,0.991643656,0.024042202,0.527062999,13762,3ge
岡山県,1995,0.469622042,0.299959963,31.86378488,34.88237372,0.985870717,0.037325608,0.701765103,22648,3ge
広島県,1995,0.488137041,0.300338189,32.12384929,35.35437031,0.985716997,0.037323561,0.817027454,21074,3ge
山口県,1995,0.441026513,0.307900492,32.31653637,35.61488783,0.985723997,0.036109941,0.789304248,11768,3ge
徳島県,1995,0.543201916,0.34614708,31.89683125,34.87859248,0.980932203,0.045077823,0.649725975,10856,3ge
香川県,1995,0.534064969,0.336637862,31.7739245,34.8643547,0.986128183,0.038929197,0.708137854,11390,3ge
愛媛県,1995,0.445989839,0.346862777,32.11826435,35.173149,0.983509619,0.044250737,0.790941185,12007,3ge
高知県,1995,0.603297443,0.591603935,32.1295424,35.27977793,0.9762786,0.053591951,0.791820544,5944,3ge
福岡県,1995,0.446181631,0.292507064,32.45859133,35.42002064,0.977270382,0.054700373,0.799655458,38760,3ge
佐賀県,1995,0.578729778,0.322831827,32.27231875,35.07849011,0.989874176,0.03521708,0.546436169,16690,3ge
長崎県,1995,0.557824704,0.301783165,32.56262655,35.3760486,0.985420885,0.042197874,0.728167358,17285,3ge
熊本県,1995,0.61027589,0.400311513,32.03538585,34.79948021,0.98452619,0.04160841,0.661103756,25010,3ge
大分県,1995,0.516713787,0.259630939,32.50473973,35.49825378,0.986446034,0.038668756,0.746291943,12026,3ge
宮崎県,1995,0.606404114,0.378370562,32.32604885,35.29145729,0.981418722,0.042435051,0.820354839,8557,3ge
鹿児島県,1995,0.500540708,0.285494815,33.05824193,36.30094238,0.977599258,0.041276397,0.908194929,6473,3ge
沖縄県,1995,0.409997341,0.217758454,32.27519277,35.21457059,0.934193034,0.102620937,0.878596183,7522,3ge
北海道,2000,0.491066014,0.212567928,32.44926522,35.40214602,0.972708188,0.047757487,0.890876371,21435,3ge
青森県,2000,0.542332592,0.407113007,32.0472891,34.71014566,0.970615011,0.054232972,0.638239166,19772,3ge
岩手県,2000,0.596795087,0.296623227,32.38334213,35.00292664,0.982536103,0.04025419,0.597521562,20843,3ge
宮城県,2000,0.54488769,0.161246695,32.19982497,34.84878209,0.976334597,0.048955172,0.700805859,27424,3ge
秋田県,2000,0.646918775,0.344962521,32.50191019,35.16510714,0.982060794,0.043128613,0.546466638,18061,3ge
山形県,2000,0.724052356,0.270621234,32.64924148,35.36048513,0.986670936,0.0334105,0.461784054,24983,3ge
福島県,2000,0.592952688,0.185307397,32.28471018,34.95857072,0.979873669,0.042883859,0.614945922,32296,3ge
茨城県,2000,0.455282233,0.201735763,32.10273386,34.66951087,0.974031163,0.042380376,0.704794806,35042,3ge
栃木県,2000,0.463253236,0.220212141,32.20823855,34.84213574,0.978865958,0.041123804,0.695602456,24179,3ge
群馬県,2000,0.416832746,0.298452002,32.63876539,35.30573867,0.980377127,0.041193869,0.761502054,19569,3ge
埼玉県,2000,0.334025255,0.154906015,32.71601552,35.52954259,0.968122174,0.046968017,0.858466102,40467,3ge
千葉県,2000,0.411937351,0.195111931,32.56162054,35.45297199,0.970074334,0.046870371,0.843972853,36457,3ge
東京都,2000,0.364686866,0.267560851,33.58716511,36.79193177,0.958902225,0.048153999,0.92727177,29077,3ge
神奈川県,2000,0.309620286,0.137786737,33.12901118,36.12848833,0.967649173,0.047937172,0.910685715,30602,3ge
新潟県,2000,0.621896245,0.445775625,32.50159604,35.09717586,0.983844636,0.038592177,0.554917158,41039,3ge
富山県,2000,0.61285347,0.463457381,31.98628963,34.60382748,0.987546415,0.034446105,0.587843678,17505,3ge
石川県,2000,0.642212033,0.534018198,32.08857857,34.86786161,0.983673753,0.036479216,0.692045262,14394,3ge
福井県,2000,0.645600654,0.478211544,32.31190411,35.03255244,0.988082266,0.030801011,0.560635711,14684,3ge
山梨県,2000,0.476185513,0.381723307,33.29755081,36.12871287,0.981969776,0.03787229,0.734715591,9595,3ge
長野県,2000,0.471395244,0.448065347,33.26397159,36.08875657,0.987151363,0.0310015,0.675098301,28719,3ge
岐阜県,2000,0.414712047,0.346756243,32.36547227,35.18478225,0.984296503,0.037216673,0.646587188,30057,3ge
静岡県,2000,0.404655506,0.204413526,32.64407835,35.39513995,0.983036528,0.037950777,0.699065704,44979,3ge
愛知県,2000,0.390662431,0.312349418,32.38622611,35.24561248,0.980728621,0.040149464,0.8147346,56353,3ge
三重県,2000,0.435816419,0.354025481,32.0953248,34.84930113,0.981149253,0.038706429,0.746153124,18673,3ge
滋賀県,2000,0.427347376,0.257295428,32.4441866,35.29703677,0.981078186,0.036534681,0.714256927,16806,3ge
京都府,2000,0.41939503,0.332269206,32.94310237,35.87935211,0.962137468,0.048804647,0.851590712,14447,3ge
大阪府,2000,0.297000613,0.216613095,32.578407,35.46414619,0.951829012,0.070017173,0.910208882,30973,3ge
兵庫県,2000,0.384920635,0.216632638,32.67398794,35.56512243,0.968592346,0.053497523,0.854012411,32508,3ge
奈良県,2000,0.314229249,0.271314944,32.8479202,35.82928666,0.970167514,0.049289791,0.810579486,10626,3ge
和歌山県,2000,0.377725471,0.386369826,32.46456888,35.18942022,0.971878097,0.049518053,0.796283909,8072,3ge
鳥取県,2000,0.633279483,0.488961814,32.61043157,35.33948765,0.977267482,0.035719568,0.611123441,8666,3ge
島根県,2000,0.640264026,0.403073168,32.60113154,35.33616219,0.984347006,0.0296229,0.601971359,10605,3ge
岡山県,2000,0.465952476,0.3034801,32.20086615,34.93862898,0.97412958,0.043326815,0.765166805,17549,3ge
広島県,2000,0.491528763,0.313248833,32.35920672,35.30312582,0.971696874,0.042589673,0.863222018,15228,3ge
山口県,2000,0.466292135,0.312889236,32.40974597,35.4062042,0.974474841,0.040580146,0.845229235,8188,3ge
徳島県,2000,0.528675437,0.363280704,32.22672116,35.02976114,0.964235535,0.048942414,0.729168084,7829,3ge
香川県,2000,0.515626885,0.340766637,32.08929649,34.90092917,0.969590926,0.047323267,0.783246532,8287,3ge
愛媛県,2000,0.451940737,0.335129644,32.58099669,35.43026815,0.970246112,0.049977441,0.847514175,8167,3ge
高知県,2000,0.615781711,0.59130096,32.48426745,35.44518191,0.96705998,0.053080578,0.848442029,4068,3ge
福岡県,2000,0.45818021,0.301385126,32.65587995,35.42401661,0.959167007,0.058552018,0.843027498,29388,3ge
佐賀県,2000,0.562784112,0.337500237,32.60324912,35.29905358,0.979059542,0.044248082,0.608590092,13419,3ge
長崎県,2000,0.561967113,0.331082865,32.86746346,35.61525579,0.975030451,0.048547597,0.768907127,13136,3ge
熊本県,2000,0.60288109,0.410046473,32.40832897,35.03273965,0.971817706,0.044238947,0.722072601,19090,3ge
大分県,2000,0.525703089,0.280060998,32.89442139,35.8203089,0.972222222,0.044586947,0.804069547,8676,3ge
宮崎県,2000,0.582682188,0.388644689,32.4935417,35.3750598,0.967150375,0.049923422,0.857782231,6271,3ge
鹿児島県,2000,0.508,0.292791475,33.01777778,36.26222222,0.96,0.049046071,0.929700781,4500,3ge
沖縄県,2000,0.42294467,0.228659424,31.71397312,34.66723976,0.912941544,0.093702794,0.892157954,6398,3ge
北海道,2005,0.501920146,0.236876448,32.4611399,35.01493447,0.957878696,0.065160238,0.908224296,16405,3ge
青森県,2005,0.58301995,0.468052631,32.43214991,34.78985276,0.954044235,0.08383793,0.667252821,15689,3ge
岩手県,2005,0.607513942,0.354090037,32.44408571,34.81185794,0.970296448,0.062186426,0.631670198,17035,3ge
宮城県,2005,0.539553017,0.206753569,32.24479804,34.59213926,0.964685616,0.068699973,0.742398541,22059,3ge
秋田県,2005,0.658090675,0.409579141,32.68300774,35.02027276,0.972355326,0.06131714,0.605230494,13565,3ge
山形県,2005,0.714907618,0.313338659,32.77549987,35.16173121,0.979903822,0.048084938,0.527093245,19755,3ge
福島県,2005,0.583622299,0.219781383,32.29322105,34.7607362,0.96951568,0.060449628,0.652436067,26243,3ge
茨城県,2005,0.468325713,0.24086753,32.46263656,34.72800251,0.969425151,0.058615903,0.739863865,28651,3ge
栃木県,2005,0.483324139,0.245861468,32.43206781,34.74411956,0.973920457,0.053958832,0.739508053,19939,3ge
